rel_class_name;report;output;;
report__output;all_variables;unit_flow;;
report__output;all_variables;units_started_up;;
report__output;all_variables;units_shut_down;;
report__output;all_variables;units_available;;
report__output;all_variables;units_on;;
report__output;all_variables;connection_flow;;
report__output;all_variables;node_state;;
report__output;all_variables;node_slack_pos;;
report__output;all_variables;node_slack_neg;;
report__output;all_variables;node_injection;;
report__output;all_variables;units_mothballed;;
report__output;all_variables;unit_flow_op;;
report__output;all_variables;units_invested;;
report__output;all_variables;nonspin_ramp_up_unit_flow;;
report__output;all_variables;start_up_unit_flow;;
report__output;all_variables;units_invested_available;;
report__output;all_variables;ramp_up_unit_flow;;
report__output;all_variables;nonspin_units_started_up;;
report__output;all_objective_terms;total_costs;;
report__output;all_objective_terms;variable_om_costs;;
report__output;all_objective_terms;fixed_om_costs;;
report__output;all_objective_terms;taxes;;
report__output;all_objective_terms;operating_costs;;
report__output;all_objective_terms;fuel_costs;;
report__output;all_objective_terms;investment_costs;;
report__output;all_objective_terms;start_up_costs;;
report__output;all_objective_terms;shut_down_costs;;
report__output;all_objective_terms;objective_penalties;;
report__output;all_objective_terms;connection_flow_costs;;
report__output;all_objective_terms;renewable_curtailment_costs;;
report__output;all_objective_terms;ramp_costs;;
